explanation,token_count,length_bin,group,llm_likeness
Standing on its hind legs is an upright position.  Edge of the road is still near the road.,18,16-20,old_human,0.48699745863180327
Just because a woman is speaking into a microphone doesn't mean she is giving a speech about her beliefs.,20,16-20,old_human,0.060798207300680036
Just because a dog jumps over a pile of wood does not mean it is to chase a rabbit.,19,16-20,old_human,0.019544164293489912
Just because the boy jumps over the group does not mean they are playing a game.,16,16-20,old_human,0.037885184329943075
Mouth holds a retrieved ball is a rephrasing of holds a tennis ball in his mouth.,16,16-20,old_human,0.29324642694062064
"The subject is either a bird or worm. The location is either on the sidewalk, or in the air flying.",20,16-20,old_human,0.08686813336455057
An older man is a man and he being holding a sign for tattoos soliciting business means in tattoo business.,20,16-20,old_human,0.5264442834472148
A leprechaun is not a young man even if he is wearing a green shirt and a hat.,18,16-20,old_human,0.01717004584122661
"You can be performing at a planned event, it doesn't mean you are there for tips.",17,16-20,old_human,0.012073526532812474
"Just because the boys are looking through a telescope, it does not mean that the telescope is new.",18,16-20,old_human,0.01906695966428185
Playing with the contents of a pantry does not necessarily imply playing with flour and sugar bags.,17,16-20,old_human,0.05854189580652831
Two people may not be a man and a woman and laughing is the opposite of crying.,17,16-20,old_human,0.03917515498657704
Two people cannot be bicycling on a path separated by mountains if they are actually hiking up a mountain.,19,16-20,old_human,0.07563944504977084
Just because their are a pile of coconuts nearby that does not mean the person is selling them.,18,16-20,old_human,0.014250637677501848
"If the boys are about to be hit by a wave, the wave is about to crash on them.",19,16-20,old_human,0.30178284761585394
A kid sitting on a rock near water and looking at his reflection is obviously outside,16,16-20,old_human,0.7133371009782867
If the person is getting out of an SUV then they are getting out of an SUV.,17,16-20,old_human,0.40640150173099265
"Walls, such as those for memorials, that have names carved into them do not have to be on brick buildings",20,16-20,old_human,0.02175769488333169
A man working with his computer at his office desk must be near a desk and a computer.,18,16-20,old_human,0.40906999583646786
Just because the girls are dressed up does not mean it is cosplay or that they are attending a convention,20,16-20,old_human,0.0030891593154202725
You can hold the handles on a two wheeled object and not be riding a bike.,16,16-20,old_human,0.0356944888413701
Greyhounds that are lying down to sleep cannot be breaking from the starting gate at that point in time.,19,16-20,old_human,0.09790773132770869
The woman cannot be seen to be wearing both a vest and red shirt and a full sleeved jacket.,19,16-20,old_human,0.038304079339757796
An old man is a person and a cowboy hat is a specific type of hat.,16,16-20,old_human,0.26154298535271364
A woman is leaning down while talking to her phone doesn't mean that the phone's ringer is loud.,20,16-20,old_human,0.18481833371509446
Sentence 1 of people playing instruments on a double-decker bus is a rephrasing of sentence 2.,17,16-20,old_human,0.02638577076490558
"White dog with brown spots is a type of white dog, and runs is a paraphrase of running.",18,16-20,old_human,0.3812484770248766
A Man is eating food next to a child on a bench doesn't imply the child is his daughter.,20,16-20,old_human,0.5507098415173622
The men hold torches to celebrate because they are part of an act for a celebration.,16,16-20,old_human,0.3792417745791298
Not all homeless men are friends and nothing says that the dog is their pet dog.,16,16-20,old_human,0.1013323082700263
"The person is either sitting at home or the person is fishing, but not both at the same time.",19,16-20,old_human,0.02530392300533435
A novice skater also may apply knee and elbow pads and a helmet while jumping into the air.,18,16-20,old_human,0.302193912412237
"the individual in subject is either a woman or it is a man, it is not both.",17,16-20,old_human,0.009149827790700234
"We have no idea if the woman has heard a joke or not, people laugh for a number or reasons.",20,16-20,old_human,0.013233327507093877
A man taking a photo in front of water implies a man is in front of water.,17,16-20,old_human,0.5813569097883404
The man in the first sentence seems like he is cooking for himself not to surprise his wife.,18,16-20,old_human,0.18359929495011681
All games are not played with pieces or on a board. The brand or type of game was not specified,20,16-20,old_human,0.014521784089472814
A person cannot stand in a doorway and fly a plane. Planes are flown in the sky,17,16-20,old_human,0.47974668843790647
A man is outside  crouched down on top of rocks to touch underneath a blue sky,16,16-20,old_human,0.7655064680751198
"""Tiny turtles are crawling in the green grass"" is a rephrasing of ""Turtles that are crawling in the green grass.""",20,16-20,old_human,0.3016708116623306
A woman and a baby are two different age groups.  Talking and yawning are two different activities.,17,16-20,old_human,0.10363362604525243
A female on the back of a bike holding onto the man might not necessarily be romantically involved.,18,16-20,old_human,0.14506526866091118
Just because the dogs are running across the woods doesn't mean they are chasing an animal.,17,16-20,old_human,0.06180492919466444
"Sentence one describes a young boy with a colorful ball, sentence two supports the boy and a ball.",18,16-20,old_human,0.33133022358923936
A musical group need not be a rock band. They can be either performing on stage or on the beach.,20,16-20,old_human,0.0068244978942959686
"Just because a a boy is next to a ball, it doesn't mean that it's a soccer ball.",20,16-20,old_human,0.014316499560941876
The two people are either kickboxing or 'ticking' (tickling) each other; they cannot do both activities at the same time.,20,16-20,old_human,0.014451844601550181
"Two different actions, either leaving the office after work is done or still at work, filling orders",17,16-20,old_human,0.17829648933262587
two boys are in front of a soda machine which the same as being at a machine,17,16-20,old_human,0.35511929123130553
"The young boy does not have to be forced to put flags up, he could be doing it voluntarily.",19,16-20,old_human,0.00657484116070262
The person is either walking or sitting. The location is either a dentist office or in front of a building.,20,16-20,old_human,0.06810954976505604
"Performing a skateboard trick requires skill, and a city may also be considered a metropolitan area.",16,16-20,old_human,0.055832466756226974
orchestra and the telescope cannot be in the same place and hence the man and the women.,17,16-20,old_human,0.03820856419985254
Just because they are at the table with the boy doesn't mean they are teaching him.,17,16-20,old_human,0.042136972323359737
The group of people are boys and they stand together with their backs against a wave,16,16-20,old_human,0.7946408340790234
"If the pond is too shallow for any boating, then there cannot be people boating on it.",17,16-20,old_human,0.02503609218660297
"The person is writing in a notebook, which means that he or she isn't at the movies.",18,16-20,old_human,0.10069814861777318
There can either be a girl or a boy. He/she can either be blowing bubbles or spit.,18,16-20,old_human,0.004567775397712719
If a man is riding in an event it stands to reason that he is entered in that event.,19,16-20,old_human,0.13204466247835528
You normally are not in the process of washing your hands while you are also repairing a roof.,18,16-20,old_human,0.06431052244563837
There cannot be both a man and a woman if there is only one person persent,16,16-20,old_human,0.013795919798221982
"A kid and a boy form a part of ""a team of youths"" in the relay race.",17,16-20,old_human,0.579283570595611
The man and boy cannot be behind the wheel of a car and buying shoes at the same time.,19,16-20,old_human,0.0416319400204138
"If people are talking and drinking while sitting around a picnic table, the table must be outside.",17,16-20,old_human,0.16195179478404428
You can't be playing hockey in front of a McDonald's. They'll kick you out.,17,16-20,old_human,0.026159562873727563
"If there are three women and two men, then there are also more females than males",16,16-20,old_human,0.09007458076758021
"The boy looking into the case is little, and the case is a display made of glass.",17,16-20,old_human,0.5483705206508647
"Four kids are wearing"" hats with streamers"" is explained elaborately by"" blue hats with colored streamers"".",16,16-20,old_human,0.8413684410359601
A person is only one and is not a jury and takes a photo cannot be convicts an innocent man.,20,16-20,old_human,0.006785559675822695
A group of people watching does not imply that the men are dancing as a stage.,16,16-20,old_human,0.025003448218322184
Woman is a human and horse is an animal and she is walking across the street means she is outdoors.,20,16-20,old_human,0.10369693591937766
Just because the boy and woman are on top of large rocks does not mean the faces are visible.,19,16-20,old_human,0.024339666496183517
Every white house in front of which the man is performing need not be his own house,17,16-20,old_human,0.37822140859347914
Children on the beach with their dog are not assumed to be playing catch with their dog.,17,16-20,old_human,0.41313045363836276
Not everyone is bald since there is at least a man with medium length curly hair.,16,16-20,old_human,0.38590270761297507
"A person (the woman, in this case) cannot be drinking from something while also talking to someone else (the man).",20,16-20,old_human,0.33277882474935105
Simply because a man is wearing sunglasses and/or a hat does not mean he his hiding his identity.,19,16-20,old_human,0.013574969584304316
If the man is climbing with the other people then the other people could watch the man.,17,16-20,old_human,0.32526091848526556
"Just because the people are cleaning a sea animal, does not mean that they are at the beach.",18,16-20,old_human,0.0044227111574792945
An outdoor event is not in a factory. Food is not the same as cell phones.,16,16-20,old_human,0.011031051958461033
A woman wearing a shirt tied into a semi-halter means that everybody visible is not dressed formally.,18,16-20,old_human,0.047604817466174704
"The bus is probably crowded, while their parent's car might be a little more private.",16,16-20,old_human,0.3091046421869728
People are humans and if they are standing on a hiking trail then they are standing.,16,16-20,old_human,0.052879235480194714
Posing at the mountain is the same as posing on the side of a mountain by the three people.,19,16-20,old_human,0.46286310788534896
The strollers are moving because children are being pushed on a city street with market vendors.,16,16-20,old_human,0.6228975009772987
A boy sitting on a park bench with a soccer ball is not necessarily playing with other children.,18,16-20,old_human,0.19462250395616942
Just because they are all biking on the same streeet wearing helmets doesn't mean that they are friends.,19,16-20,old_human,0.002578442433683465
It can either be a woman or a man. They can either be playing the drums or the guitar.,19,16-20,old_human,0.005020931521037557
The boy can't be leaping into sand and into a pool at the same time.,16,16-20,old_human,0.031500291072026836
Just because anyone is standing on the beach doesn't mean that they are waiting to go into the water.,20,16-20,old_human,0.017811794979275833
People takes an umbrella doesn't necessarily imply it is raining and the man is in the rain.,18,16-20,old_human,0.23910931422048656
Performance of three young women's dance in front of a big audience is Really Amazing!!!,16,16-20,old_human,0.6963435151560393
A kid in a relay race is not the same as kids playing a video game.,16,16-20,old_human,0.07024060953572904
We don't need to know what the man is wearing to understand that he is holding literature.,18,16-20,old_human,0.21399037216776778
"Just because the city has graffiti does not mean the men hope to clean up the street together,",18,16-20,old_human,0.06812304989003479
Doesn't give away the fact that the windsurfer realizes that his trick had gone wrong,16,16-20,old_human,0.1746473468392706
People cannot be playing video games and participating in a walk-a-thon at the same time.,17,16-20,old_human,0.019806901157178966
Just because a hockey player is wearing their helmet that does not mean that they are playing hockey.,18,16-20,old_human,0.006422014274634245
"If foods are not stored in room, then there can't be a room full of food donations.",18,16-20,old_human,0.010588173584739971
Kids cannot be splashing in deep water and be singing in a choir at the same time.,17,16-20,old_human,0.029782780066787074
Hockey players and a referee are either on the ice or a dog is on the ice.,17,16-20,old_human,0.3921319614736141
How can people be in a rowboat and at the same time watching a game inside,16,16-20,old_human,0.04566924916025285
"Shopping can take place in many stores, even online. Going to a mall is a specific shopping experience.",18,16-20,old_human,0.4715154470960844
"If no one seems to be looking at a statue, it means not many people interested in.",17,16-20,old_human,0.012918338879581461
It can't be assumed that she wants to climb the slope or that she hasn't climbed it already.,20,16-20,old_human,0.02082208424136695
A person cannot be having a picnic and splashing in the water at the same time,16,16-20,old_human,0.04141098477347922
Lots of boys play football. There is no way of knowing if the boy's names are Timmy and Joe.,20,16-20,old_human,0.10715819823686322
People cannot be on the edge of the roof of the building and climbing down the ladder simultaneously.,18,16-20,old_human,0.22208517637169845
Just because a man and woman are posing doesn't necessarily mean that they are a couple.,17,16-20,old_human,0.00377937591431951
It is humanly impossible for a child who is sitting to all of a sudden be one that climbs.,19,16-20,old_human,0.03033644405290143
People cannot be walking down a city street and swimming in the pool a the same time.,17,16-20,old_human,0.056081718315872886
People encompasses some people and sitting on a bench in front of buildings means this is an outside activity.,19,16-20,old_human,0.39232592889134266
People can either stand at a street corner in France or take a tour of a factory.,17,16-20,old_human,0.12440342572979442
Just because the dogs are swimming in the backyard that does not mean that they are with their owner.,19,16-20,old_human,0.014541527789425968
It is not necessary that the girl who debates is the same girl who was outside the building,18,16-20,old_human,0.02258337556617876
"These individuals have different nationalities (Indian and American), and one is outdoor (outdoor marketplace) while the other is indoor (supermarket).",20,16-20,old_human,0.07067849849354167
Cars and tents set up at the foot of a mountain are definitely are at the foot of the mountain.,20,16-20,old_human,0.5528446785342359
Just because a mechanic is working on a car does not mean the car took a pit stop.,18,16-20,old_human,0.026302668612667064
A football player is carrying or holding the ball as holding and carrying refer to the same action.,18,16-20,old_human,0.12840570142874796
In order to be playing a piano one must have hands on the keys of a piano.,17,16-20,old_human,0.12905280025543656
"If the men are taking turns scoring in basketball, they cannot be sitting in a meeting.",16,16-20,old_human,0.062964555486543
A man is practicing with a microphone whilst practicing or pretending that he is on stage.,16,16-20,old_human,0.2925923488942147
Man examining a camera with another man does not result in the picture of a woman.,16,16-20,old_human,0.44753605577187816
If the tan girl is running and leaning over an object then she runs and leans over an object.,19,16-20,old_human,0.35885918704555525
the African American man may not be black. it does not mention he is waiting for food. or relaxing.,19,16-20,old_human,0.007999981296905389
"Group of women are a group of people, and observing an event is a rephrasing of watching something.",18,16-20,old_human,0.19480234150488046
the man can not be going to the store if he is gear riding a bicycle down a road,19,16-20,old_human,0.018777266244945894
Just because a child is playing with pigeons does not mean she is chasing pigeons around.,16,16-20,old_human,0.026825263325134043
"Riding rails is not always for a competition, and that was never implied in the first sentence.",17,16-20,old_human,0.02513145491891691
sit on a beach doesn't always mean  gathered on a sunny day at the beach.,16,16-20,old_human,0.3911083614546257
"A long pole is an object, and wields is another way to say he holds something in his hands.",19,16-20,old_human,0.23927435147988005
Holding a container of ice cream does not necessarily mean the woman is making a snack.,16,16-20,old_human,0.044184985342013074
"The baby is looking at the cat, so the cat is near her, probably in the same room.",18,16-20,old_human,0.5610289984022271
"A woman runs quickly down the road is wearing a read headband, red tank top and black shorts.",18,16-20,old_human,0.8243164428383957
The first sentence has a boy sits outside while the second one has a girl playing inside.,17,16-20,old_human,0.2817116843268648
The man cannot be taking a nap while driving. The man cannot be driving in the back of a vehicle.,20,16-20,old_human,0.09094151367562385
Riding a skateboard doesn't always involve getting lots of air. It may not be raining at the skatepark.,19,16-20,old_human,0.016052078744534376
"The group of people wasn't necessarily a family, and they're not necessarily visiting a zoo.",17,16-20,old_human,0.09150878120199446
"Woman sitting with a dog implies that she is sitting near the dog. Thus, she is near the dog.",19,16-20,old_human,0.34275932097592227
One doesn't need to be in a marathon to run with numbers on one's shirt.,17,16-20,old_human,0.20281120707222902
"We have no idea if she dislikes rain or not, she might love rains. Women should say woman.",18,16-20,old_human,0.02194046049288891
"A man is a guy and with the crowd behind him, he is near a crowd of people.",18,16-20,old_human,0.6194837245759904
Just because the boy is on a giraffe bouncy does not necessarily mean he is 2 years old.,18,16-20,old_human,0.0020474421800053375
Just because the dog is swimming does not mean it will be attacked by a gator.,16,16-20,old_human,0.00196312863820767
Kids playing on a muddy bank are not necessarily doing it just to have a mud bath.,17,16-20,old_human,0.04986949142418898
"The African Americans may not be eating burgers and fries, and also may not be at a birthday party.",19,16-20,old_human,0.010895498286461079
"Just because a women looks off to her left smiling, does not mean that she is smiling at someone.",19,16-20,old_human,0.01756870231207235
Just because a couple is kissing it doesn't mean that they are celebrating getting engaged.,16,16-20,old_human,0.01001419079523668
"The people cannot be ""await"" to cross the street while walking the dog if they are home watching tv.",19,16-20,old_human,0.08602595192282839
Trying to get to school is only one of many reasons someone might climb a chainlink fence.,17,16-20,old_human,0.5637141478741121
Woman and man are different persons. Yelling at television is not the same action as talking on a cellphone.,19,16-20,old_human,0.02336704265373148
The youth is not necessarily a boy and they are not necessarily showing their new skateboard tricks to their friends.,20,16-20,old_human,0.020549461405126646
The woman cannot be using an umbrella and not using an umbrella at the same time.,16,16-20,old_human,0.043135509648194036
Just because someone is riding a skateboard that does not mean they ride a skateboard well.,16,16-20,old_human,0.00818850745387519
One cannot be in a bedroom and walk past some hats on display at the same time.,17,16-20,old_human,0.041187594052598114
in the first sentence girls are standing under a fountain in the second sentence they are riding roller coaster,19,16-20,old_human,0.15099349809664403
A child cannot be on a swing and getting ready to go down a slide at the same time.,19,16-20,old_human,0.06498526927267584
"If a dog is racing through a field, then he cannot also be barking out of a window.",18,16-20,old_human,0.04407523126139154
Two people kickboxing with others spectating doesn't imply that it is an official boxing match,16,16-20,old_human,0.12933107496144558
Coming down a staircase is inarguably descending; doing so through a tunnel is therefore descending in a tunnel.,18,16-20,old_human,0.5350405654265489
just because a man is pushing a carton of bread does not mean he is selling loaves of bread.,19,16-20,old_human,0.01609137915263184
Holds a piece of paper up to the camera is rephrased as paper is being held up to a camera.,20,16-20,old_human,0.5333735161093106
"Saying the boys is ""standing"" on the sidewalk is paraphrasing the sentence which states he ""stands"" on the sidewalk.",19,16-20,old_human,0.5161889153302063
A boy and girl holding hands has nothing to do with the death of old people.,16,16-20,old_human,0.5977481225565812
If there are five children in the first sentence than there can not be ten children in the second,19,16-20,old_human,0.017811373205035674
Lying in the grass in the park does not mean the woman is taking a break.,16,16-20,old_human,0.3047911997325621
A fireman inspects some debris therefore looks at some debris while a pickaxe is an axe.,16,16-20,old_human,0.7280384447141816
A street is a different place than a train platform. One man is playing and the other is waiting.,19,16-20,old_human,0.10813383412834068
A man posing with snow in the background contradicts a woman posing with lava in the background.,17,16-20,old_human,0.9382179192634315
Standing does not explain that the man and woman are standing at the side of an inflatable climbing structure.,19,16-20,old_human,0.12873271900006528
The guy isn't necessarily a quarterback and it is not necessarily during a football game.,16,16-20,old_human,0.009231904176123637
Factories are indoor places. A person in a factory is a rephrasing of a person inside a factory.,18,16-20,old_human,0.18101890302248047
"Not every person who sweeps an area is a janitor, some people like to keep places clean.",17,16-20,old_human,0.1820667139998796
Three men (men being the plural form of man) are riding bikes that are mountain bikes.,16,16-20,old_human,0.34339698744716146
A man installing a roof is not assumed to be doing so on a beach house.,16,16-20,old_human,0.05691175675715846
A boy can't sits and stands at the same time. You can only be doing one at a time.,20,16-20,old_human,0.014040083474251737
"An African-American male is a boy, riding a bike entails riding a green bicycle, and on board means outside.",20,16-20,old_human,0.3820220180797173
hanging from cables over water means you can't pet the shark because you need both hands for the cables,20,16-20,old_human,0.11082729329409598
The temperature is not implied or addressed at all so it being cold is not determinable,16,16-20,old_human,0.0011758453681536686
We cannot tell from the first sentence that the people posing for a camera are making different poses.,18,16-20,old_human,0.07124286610477992
An African person can stand in a wheat field and it not be owned by his boss.,17,16-20,old_human,0.04389843598644469
"'Long Live The Dead' is a clever phrase to put on a t-shirt, which is a type of shirt.",20,16-20,old_human,0.27084513365679935
With more than one boat it is unclear which one the red bag was put into.,16,16-20,old_human,0.34350456037392835
Just because they're posing for a picture doesn't mean they're posing for a Christmas picture.,18,16-20,old_human,0.0831110323805463
The TV is in the background but this does not necessarily imply that the volume is turned on low.,19,16-20,old_human,0.024842818801143012
"Instead of performing a trick, the rider could have lost control of the bike during his time in the air.",20,16-20,old_human,0.6566477872862465
"""Standing in front of case"" is a rephrasing of standing in front of a display case.",16,16-20,old_human,0.20733549052242434
The man is in a rowboat in sentence 1 and is in a prison cell in sentence 2,18,16-20,old_human,0.3666715836356858
Two men don't have any specified gear color while the others are wearing black gear.,16,16-20,old_human,0.5873878426379957
"""Two workers are preforming their jobs"", is a rephrasing of two butchers are walking through their shop.",17,16-20,old_human,0.39351367314269586
"Two girls is understood to mean two females who are hoding bags or sacks, anotherr word for bags.",18,16-20,old_human,0.24784167125693046
Snow in the background doesn't indicate that the current weather is either cold or snowy.,16,16-20,old_human,0.0378430875296031
"The man choose to lay down, the traffic was just near it, he might not be asleep.",17,16-20,old_human,0.07999492110713348
"Just because a man bends his ear to listen, does not mean they are composing together.",16,16-20,old_human,0.002393409504275899
A car rounding a turn could not have been driven by people playing a racketball at that time.,18,16-20,old_human,0.07383967963619623
Just because it is a windy day doesn't mean the person on the phone is complaining about the weather.,20,16-20,old_human,0.12210743435161206
Men in hard hats are not a school class and working outside can not be done in a museum.,19,16-20,old_human,0.03250749333057584
A dog can be in the middle of a huge field without sniffing for its bone.,16,16-20,old_human,0.17759810504878032
A being cannot be both lying on their bed and playing on the grass at the same time.,18,16-20,old_human,0.029175334561909648
"A person who is a young girl  and is wearing glasses, is looking at something in the distance.",18,16-20,old_human,0.5902920158350444
"If there are three males and on female posing near the mountains, then there must be four people posing outdoors.",20,16-20,old_human,0.17378673302005898
"The bicyclist may not have any spectators.  The wire may not be high, it could be low.",17,16-20,old_human,0.006770483385775378
The man was swimming because he exits from a pool with and water drips from his body.,17,16-20,old_human,0.5720663829366766
the men cannot be working in front of a wall and playing instruments at the same time.,17,16-20,old_human,0.05643355617431576
Sentence 2 of a child riding on a man's shoulders is a rephrasing of sentence 1.,17,16-20,old_human,0.025580509556338126
Just because a woman is helping a girl doesn't mean the girl is her child.,16,16-20,old_human,0.1154869658926759
"A woman can point her camera without photographing anything, and birds don't have to be in the sky.",19,16-20,old_human,0.06542147084848855
Just because they are climbing doesn't mean they are doing so to build a steeple.,16,16-20,old_human,0.012407110484386938
Just because you are moving items to another bin does not mean they are going to a dry place.,19,16-20,old_human,0.008036506889484181
"Though people have eybrows, now everyone has them, some people have medical conditions that prevents hair from growing.",18,16-20,old_human,0.428002953627794
Just because the dog is sniffing at the fence does not mean it is looking at the bull.,18,16-20,old_human,0.03351665321778423
One must be on a beach in order to be making a sand castle on the beach.,17,16-20,old_human,0.13823416824588863
man  putting on his gloves at a subway station need not be waiting for the train.,16,16-20,old_human,0.37692249142508116
A man can either wait in an airport terminal or swim at a beach and not both.,17,16-20,old_human,0.03234814972992608
"If you're sticking your head out of a taxi cab and screaming, you're definitely not at home resting.",20,16-20,old_human,0.11696533541007889
"If the young boy, a child, is with a toy in  a field, then he plays outdoors.",17,16-20,old_human,0.31968946960337197
"A woman is a person, and if she is on the street, she must be outside.",16,16-20,old_human,0.026227394180923035
A young boy leaping into sand does not necessarily mean he jumps onto his friends sand castle.,17,16-20,old_human,0.09172438183761933
he first sentence is about a fake animal. the second sentence is about a real dog.,16,16-20,old_human,0.07607114320772468
Workers cannot be scattered among scaffolding on an older building while digging at a construction site simultaneously.,17,16-20,old_human,0.2592862023558631
Hat and glasses are clothing accessories.  Cradling means holding a baby and infant is a replacement word for baby.,19,16-20,old_human,0.19110816735702196
A man in a brown shirt and blue shorts is the man walking in droney park,16,16-20,old_human,0.7991335542387678
Just because a man is smiling at a woman doesn't mean he knows the woman.,16,16-20,old_human,0.07435581126420553
"Not all singing is karaoke, and a woman can have a good time singing without karaoke being involved.",18,16-20,old_human,0.011327963140887591
Just because a skateboarder is sliding down a ramp does not mean he is taking pictures of himself.,18,16-20,old_human,0.0193316457314836
The animal is either a cat or a dog. The animal is either running up a tree or the lawn.,20,16-20,old_human,0.0861627397706989
"A dog catching a ball on his nose does not imply he is playing, or that his owner is present.",20,16-20,old_human,0.046740125566385134
"The motorist is getting air over a hill. This implies that he's moving, as opposed to being stalled.",19,16-20,old_human,0.10714784921263981
Woman in a white and red basketball uniform is repeated as woman in a white and red basketball uniform.,19,16-20,old_human,0.704515723522798
The woman and man can either be dancing in a club or walking down a street.,16,16-20,old_human,0.05661118232387897
A young boy holding a pumpkin in the middle of a pumpkin patch may not carve his pumpkin,18,16-20,old_human,0.5818427966199018
The truck with a ramp still attached implies that the truck is still put together instead of being disassembled.,19,16-20,old_human,0.20371114669885904
a dark-skinned is the man wearing a green cap backwards is same as wearing his hat backwards,18,16-20,old_human,0.3569700245864293
"Basketball can also be played in an organized setting, not only in a pick-up variety.",16,16-20,old_human,0.06669690984525667
Workers could not be standing near the rail tracks and simultaneously sitting and riding a train.,16,16-20,old_human,0.05019163425800289
It sounds more like the two people were in a class as opposed to being in an art contest.,19,16-20,old_human,0.5864622669919468
Just because there are several people does not mean they are waiting for the same train.,16,16-20,old_human,0.00469698112045495
The skateboard cannot be on the big rock at the same time as the big rock being on the skateboard.,20,16-20,old_human,0.1954011728798906
people who examine a boat sitting n sand are not people who don't like sand,16,16-20,old_human,0.06978633650912253
A cyclist can enjoy many things and locations and not just when he is cycling on his favorite route.,19,16-20,old_human,0.06902523377439262
"WE do not know that these women are taking place in a protest, they could also be police officers",19,16-20,old_human,0.040819673197375776
In order for a couple to be embracing there needs to be two people hugging one another.,17,16-20,old_human,0.16805709665777546
If someone is wearing ballerina attire then they are a ballerina and talking and conversing are synonyms.,17,16-20,old_human,0.0630226050297329
A mother and her two little boys are collectively called as people.  Both people are on an outdoor market.,19,16-20,old_human,0.6411378896337484
The kids could be climbing multiple rocks - use of the implies that there is only one rock.,17,16-20,old_human,0.03278377100827581
The man the must not be a clown and must not entertain at a birthday party.,16,16-20,old_human,0.022452900869517643
A mother is not always Asian and her family could consist of more than a young boy and a man,20,16-20,old_human,0.07201175702063584
Six men must be in tuxedos in order for them to be standing next to the fence.,17,16-20,old_human,0.15464710792217523
A man examining a bike during a sale does not mean he wants to buy it.,16,16-20,old_human,0.04721935497346137
Not just because a man throws a frisbee doesn't mean he is playing in a tournament,17,16-20,old_human,0.007585662066445302
playing golf is not the same as boxing at a gym. two separate activities cannot be performed simultaneously,18,16-20,old_human,0.004327280288377518
The young man must be walking to pass by the accordion player sitting in a chair.,16,16-20,old_human,0.508543113248473
The woman is either tacking a note to a door or taping a paper notice to a board.,18,16-20,old_human,0.21976273127898047
Looking at the ground with surprised expressions does not indicate they were surprised by a skunk.,16,16-20,old_human,0.10930942823444076
"Just because a woman is holding a baby, it doesn't mean it's her baby.",16,16-20,old_human,0.043482255741461376
A dog chasing a ball does not imply it is at the park with its owner.,16,16-20,old_human,0.11340202148475895
The fact that one is holding a camera does not mean one is trying to get a picture.,18,16-20,old_human,0.034937781700975744
A man with the tribal tattoos over a balcony is not an actress on the stage,16,16-20,old_human,0.5479631855624673
The ladies cannot be doing a workout in mother nature and sitting on the floor simultaneously.,16,16-20,old_human,0.17259250873861187
Two little kids without shirts are sitting down facing each other doesn't imply they are sitting indoors.,18,16-20,old_human,0.17069437432423187
The girls can not be at school and sitting on a park bench at the same time,17,16-20,old_human,0.019007736209884454
A camera is not necessarily for a foto shoot. I could also be a film camera.,16,16-20,old_human,0.006764833713214785
Either the men went for a long day's work or did not go to work.,16,16-20,old_human,0.2108233471545427
Just because a boy and girl walk through a field does not mean that they are playing.,17,16-20,old_human,0.004383311499917203
"A young person vs a woman and locations are different, either on a bench or a parking lot",18,16-20,old_human,0.04759125819480469
Just because a person is flying though the air doesn't mean they lost control and flew off the curb.,20,16-20,old_human,0.09113715038382221
"Splashing in the swimming pool implies that the boy is playing, since splashing is a form of playing.",18,16-20,old_human,0.1450067944421924
Speaking into microphone doesn't imply that the man is giving a speech on personal finance.,16,16-20,old_human,0.21938106713940406
"the cup may contain other beverage than soda, and he can drink it even it is not a park.",19,16-20,old_human,0.009996885518776739
Just because the fighter plane is landed outside doesn't mean there is no one inside.,16,16-20,old_human,0.01096091650761813
We have no idea if the man works for this company or if he is doing something else.,18,16-20,old_human,0.03310666822711193
Just walking down the street towards something doesn't necessarily mean that one is headed to baseball practice.,18,16-20,old_human,0.04530346985067388
The group of Chinese people laying down together on a porch implies that they are hanging out.,17,16-20,old_human,0.2452083542422735
"We do not know that the man took a fishing trip, only that he is fishing",16,16-20,old_human,0.025902151970729495
The men can either be wearing formal wear (tuxedo and suit) or wearing surfer wear (shorts and tank tops).,19,16-20,old_human,0.08364424934106933
Not all players who try to make baskets are the best. They may not be in a league.,18,16-20,old_human,0.00924224612514141
The people are either waiting to cross the street or at an amusement park; they cannot be doing both simultaneously.,20,16-20,old_human,0.048007665585062705
A man having his head shaved is not assumed to be donating hair to a charity for cancer patients.,19,16-20,old_human,0.11549775994011066
The kid isn't able to be laying in a pool and also at the top of a concrete structure.,20,16-20,old_human,0.28240141386689227
"A man and a woman are people, and laughing is a sign that someone is happy.",16,16-20,old_human,0.2664962717021176
Street vendors typically work at street fairs and a restaurant is a building people eat at.,16,16-20,old_human,0.5533416293225216
A summer school's 60th anniversary does not indicate that the men were at a family reunion.,17,16-20,old_human,0.07978800154801782
"If the man is watering a tomato plant, then he can't be watering a bonsai tree",17,16-20,old_human,0.026471921111899877
"The woman walks by the man, which implies that he is sitting and she's the only one walking.",19,16-20,old_human,0.13128362132125918
"Two people is the same as a couple, and cultivate a field is the same as farming.",17,16-20,old_human,0.009755080989596591
Women rollerskaing around an area is a less descriptive rephrasing of four women competitively rollerskating around an area.,18,16-20,old_human,0.3765694947699039
First Lady Laura Bush and George Bush wouldn't be standing in front of the podium together.,17,16-20,old_human,0.2494757960127914
"To ""plays guitar and sings"" implies that the singing is being done simultaneously while playing guitar.",16,16-20,old_human,0.08678022572099757
"A poodle is a type of dog, running is a form of playing, and grass is only found outside.",19,16-20,old_human,0.0601541968935168
"two men lie in the sand, or they are playing in a lake.  both are not happening at once.",19,16-20,old_human,0.14798037741154768
