premise,hypothesis,label,label_name,explanation
"A man in a white striped shirt at a gambling table, is next to a woman in a black top, shuffling a pack of red cards.",people going to play poker,1,neutral,"The premise gives related context (Two children are posing with their arms up on an ice rink), but it does not provide enough evidence to confirm or deny that Two young girls posing with arms up on an ice rink."
Two men drink beer at the bar in a restaurant.,The two men are drinking water at the bar.,2,contradiction,"The hypothesis conflicts with the premise. The premise states A brown and white dog on a trampoline with a forest in the background, which contradicts the claim that A cat sits overlooking the ocean."
A little boy in a red shirt is swinging at a pinata.,A young boy swings at a pinata.,0,entailment,"The premise gives related context (A woman in a brown sweater is sewing on her machine), but it does not provide enough evidence to confirm or deny that The woman is sewing a dress."
A female woman rides a bicycle along a long wall.,A woman is skateboarding.,2,contradiction,The hypothesis is supported by the premise: The red team winning the paintball tournament. This is consistent with the claim that The red team winning at paintball.
Three men are on painted wooden boats working with a turquoise fibrous material.,Three men are swimming in the river.,2,contradiction,"The premise gives related context (A group of people jump in the air at the shore of a sandy beach), but it does not provide enough evidence to confirm or deny that The people jump for a photo."
A team of dogs pulls a sled through the snow.,The dogs are swimming in the ocean,2,contradiction,The hypothesis is supported by the premise: A rollerblader grinds across a rail. This is consistent with the claim that a rollerblader grinds across.
Two pink poodles on pink leashes.,Two cats sleeping on a window sill,2,contradiction,The hypothesis is supported by the premise: A Asian man wearing a white top and baby blue bottoms is using a broom to. This is consistent with the claim that A man is sweeping the sidewalk.
Two people silhouetted against a lake at sunset.,Two people in front of a lake before dark.,0,entailment,"The hypothesis conflicts with the premise. The premise states Am older woman in a black top intently reading a book at the kitchen table, which contradicts the claim that A woman cleaning the kitchen."
"A small group of colorful clowns are walking down a street, happily.",A group of clowns walk together.,0,entailment,The hypothesis is supported by the premise: People wearing bathing suits on a wet surface. This is consistent with the claim that Some people are in swim suits.
Three girls pose for a picture and one of the girls kisses the others cheek.,they are eating dinner,2,contradiction,"The premise gives related context (A white male who has everything covered but his face and hands is holding an accordion), but it does not provide enough evidence to confirm or deny that A white man wearing a hat long sleeves long pants socks and shoes holding an accordion."
A man is looking at the moon throw a telescope at dusk.,A man gazes through a telescope at the moon.,0,entailment,The hypothesis is supported by the premise: A man is working on a steam engine in front of a water tower. This is consistent with the claim that The steam engine is not running.
"Three barking, howling dogs",Three dogs sleeping next to a fireplace.,2,contradiction,"The premise gives related context (A Japanese crowded is gathered for an event), but it does not provide enough evidence to confirm or deny that A crowd watches a performance."
A woman sitting at a desk staring at a computer screen.,A woman is at work alone.,1,neutral,The hypothesis is supported by the premise: A man surveying in a fairly large city. This is consistent with the claim that A man surveys in the city.
An old man on a bicycle riding along a wooded country road with sun filtering through the treetops.,The man is outside,0,entailment,The hypothesis is supported by the premise: An older woman is walking down an alley carrying a black bag. This is consistent with the claim that There is a women walking.
People are riding on a ride at a theme park or carnival.,They are having fun.,1,neutral,"The premise gives related context (Two children are jogging down the sidewalk), but it does not provide enough evidence to confirm or deny that Kids are jogging during P E class."
A man in a black martial arts suit unsheathes a sword on a training mat in a field.,A man unsheathes the sword against his opponent in a training.,1,neutral,"The hypothesis conflicts with the premise. The premise states Two women sitting on a bench by the water, which contradicts the claim that Two ladies sit on a car near water."
Two people wait at an enclosed bus stop on a bench with advertisement present.,Two people are waiting at a bus stop.,0,entailment,"The hypothesis conflicts with the premise. The premise states A woman in a white dress a man in a green shirt three other people and, which contradicts the claim that Everyone shown in the image is of the same gender."
a girl stands in the train tracks.,A girl is outside,0,entailment,"The premise gives related context (A man and his girl are crossing the street), but it does not provide enough evidence to confirm or deny that A couple are heading to a resturant."
Boy plays baseball in a grass field.,The boy is playing baseball alone.,1,neutral,"The hypothesis conflicts with the premise. The premise states A group of people is sharing a meal at a large table at a restaurant, which contradicts the claim that A couple of friends go shopping in the mall."
A girls volleyball team in a huddle.,The girls are playing football.,2,contradiction,"The hypothesis conflicts with the premise. The premise states A dental technician is completing a procedure on a patient, which contradicts the claim that Person leaving the dentist office."
"Two woman, both of which are wearing black shirts, are eating.",The two woman are eating.,0,entailment,The hypothesis is supported by the premise: A police truck is parked on a street. This is consistent with the claim that The police truck is sitting outside.
A man standing in a game booth in a fair.,A man is at a fair.,0,entailment,The hypothesis is supported by the premise: A woman in an orange coat and jeans is squatting on a rock wall while a. This is consistent with the claim that A woman is squatting on a rock.
A group of people is having coffee and getting some work done.,Some people are working around a conference table in a sun-lit room.,1,neutral,"The hypothesis conflicts with the premise. The premise states A girl smiles outside of a store, which contradicts the claim that A girl is crying in her bedroom."
A man is gazing at something in a snowy cityscape.,a man staring at something in a snowy cityscape,0,entailment,The hypothesis is supported by the premise: A merchant is rearranging her items for sale. This is consistent with the claim that The storeowner is looking at her wares.
Young girl looks at camera while mother sews on the ground.,girl looking at camera,0,entailment,The hypothesis is supported by the premise: An older woman from Rajasthan or elsewhere in India or Pakistan faces the camera in traditional. This is consistent with the claim that A woman is posing for a photo.
A brown dog running in field of long green grass.,A dog is sitting in a field.,2,contradiction,"The premise gives related context (People hugging at a wedding), but it does not provide enough evidence to confirm or deny that Sharing hugs at the wedding."
A man is putting up a poster in front of a shop.,There is a man in front of the shop.,0,entailment,The hypothesis is supported by the premise: Two friends are smiling and wearing large sombreros. This is consistent with the claim that Two friends are wearing large hats.
"Some young people of color and some older ladies are standing in a circle, clapping hands to music being played.",People are gathered for wedding.,1,neutral,"The premise gives related context (A man wearing blue jeans is standing outside carrying a wide assortment of items and has), but it does not provide enough evidence to confirm or deny that The man is balancing a dish on his head while carrying other things."
A man that is wearing a gray military shirt with medals and a light blue cap with gold on it is waving his arm.,A man that is wearing a gray military shirt with medals and a light blue cap with gold on it using his arms.,0,entailment,"The premise gives related context (On an outdoor basketball court a man jumps towards the hoop with the ball while several), but it does not provide enough evidence to confirm or deny that The sky is cloudy as the basketball players play."
A woman is casting a shadow on the map that she is looking at.,The woman has a hard time seeing the map while her shadow is covering it.,1,neutral,"The hypothesis conflicts with the premise. The premise states Two people performing at a music festival, which contradicts the claim that One person playing alone."
a group of people ride a roller coaster that is passing over some water.,the people are sleeping on a bed,2,contradiction,The hypothesis is supported by the premise: A girl and a boy are pretending to be on a magic carpet. This is consistent with the claim that Children are playing.
A couple preparing for take off in their yacht.,A couple of people are preparing.,0,entailment,The hypothesis is supported by the premise: Three young musician in a band performing by female singing and two males playing guitars. This is consistent with the claim that A group of people perform music.
A man sitting on a bench with his bicycle leaning against a railing.,The man rides his bike through the park.,2,contradiction,The hypothesis is supported by the premise: A lady is on the floor packing a suitcase. This is consistent with the claim that She is packing.
A motorcyclist and uncovered truck drive along a dessert street.,A motorcycle and truck are driving.,0,entailment,"The premise gives related context (People shaping pieces of stone into bricks), but it does not provide enough evidence to confirm or deny that Men and women are shaping material into bricks."
Two women in long black coats look off in the distance at something.,Women in tennis clothes sit in the shade and chat.,2,contradiction,"The premise gives related context (A group of people are preparing for a parade as one participant stops to pose for), but it does not provide enough evidence to confirm or deny that The participants are almost ready for the parade."
A woman with a white shirt and ponytail walks by.,"A woman sits down with her grandmother, discussing the times of old.",2,contradiction,The hypothesis is supported by the premise: A woman with black hair with purple streaks in it takes a bite while her companion. This is consistent with the claim that A women eating.
A man exploring a cave.,The man is ocean fishing.,2,contradiction,"The premise gives related context (A person in a uniform waiting next to luggage near an open plane door with two), but it does not provide enough evidence to confirm or deny that The person is in the army."
a skateboarding ramp located in a room with multicolored graffti painted on the wall.,The skateboarding ramp is for the local youth.,1,neutral,The hypothesis is supported by the premise: A dog is running on a wooden beam beside a blue fence. This is consistent with the claim that A dog is running outside beside a fence.
A man shooting a bow and arrow at a target.,A man shooting a bow and arrow.,0,entailment,"The hypothesis conflicts with the premise. The premise states People wearing colorful costumes and headresses march through the streets, which contradicts the claim that Some musicians are preparing their instruments for the concert."
Vocalist singing into a microphone.,The vocalist singing is being record.,1,neutral,"The premise gives related context (many people look over the side of a bridge), but it does not provide enough evidence to confirm or deny that People are looking in the river."
A man is walking on a trail in the woods while a young girl is attempting to climb some boards of wood.,Male strolling through wooded area on path at same time teenage girl is trying to go up stacked wood.,1,neutral,"The hypothesis conflicts with the premise. The premise states Group of people having a great fun on the streets of their city with balloons and, which contradicts the claim that Group of people playing paintball in the woods."
5 people in white lab coats are standing over 5 sheep,Two boys are tossing a frisbee back and forth.,2,contradiction,"The hypothesis conflicts with the premise. The premise states A woman in a yellow coat is seated next to a standing man in a red, which contradicts the claim that A couple rides in a car together."
A person is rock climbing between two large rock faces.,A person is running between the rock faces.,2,contradiction,"The hypothesis conflicts with the premise. The premise states Several menu boards are showing items for sale along with prices, which contradicts the claim that Framed photographs of food hang on the wall."
A woman is reading a story to the boy and girl.,She is watching TV.,2,contradiction,"The premise gives related context (Two kids having fun burning dad in the sand), but it does not provide enough evidence to confirm or deny that The kids are near the ocean."
People walking around in the daytime in a busy city.,Dogs chasing each other.,2,contradiction,The hypothesis is supported by the premise: A man and a woman hold the front arm of a large tiger that is laying. This is consistent with the claim that The people are holding on to the large tiger.
A group of people are sitting in a large room.,There is a group of people.,0,entailment,The hypothesis is supported by the premise: A group of young men sit on rock and look in the distance. This is consistent with the claim that men sit on rock.
Two people are descending down some stone steps.,Two humans are walking down steps.,0,entailment,The hypothesis is supported by the premise: A woman wearing a burgundy shirt and a man wearing black prepare a tray of cups. This is consistent with the claim that They work to prepare the wine.
A man is fixing a bicycle for another man in the snow.,A snowy bike race is paused as the rider has his bike fixed by a mechanic.,1,neutral,"The premise gives related context (Two black poodles playfully tussle on a grassy manicured lawn), but it does not provide enough evidence to confirm or deny that the dogs are brown."
People sitting at a table with many computers.,People sit near computers.,0,entailment,"The premise gives related context (A woman leaving a parking garage), but it does not provide enough evidence to confirm or deny that A lady drives out of the parking lot."
Men are standing next to a pallet of goods near a boat.,Men are driving a boat.,2,contradiction,The hypothesis is supported by the premise: A little boy puts his face up to the uniquely shaped window. This is consistent with the claim that A boy presses his face up to the window.
Four children are playing on a hill of sand.,Four kids are digging in the sand.,1,neutral,The hypothesis is supported by the premise: An elderly man wearing navy blue is sitting on a bench along the street. This is consistent with the claim that An elderly man took rest on a bench along the street.
Tackle on the soccer field,Someone is tackled while playing soccer.,0,entailment,"The premise gives related context (A cricket batter dressed all in white makes a hit), but it does not provide enough evidence to confirm or deny that The cricket bat makes a very audible cracking noise once it hits."
A Celtic marching bands performs on field during a soccer match.,A group performs music during the sports match.,0,entailment,"The hypothesis conflicts with the premise. The premise states A man is staring intently at some plants, which contradicts the claim that A man reads a book."
A child in a flower print dress is in a field of flowers.,A girl sits on a couch.,2,contradiction,The hypothesis is supported by the premise: A couple of people are standing and the person in the red coat is pointing at. This is consistent with the claim that The person in the red coat is pointing at the body of water.
A woman in an orange dress is walking down the street.,The woman is in a hurry,1,neutral,"The hypothesis conflicts with the premise. The premise states A woman is sitting on the steps looking at a collection of trinkets, which contradicts the claim that A woman sits in a cafe."
Two children taking in a snack.,Two children eat.,0,entailment,"The hypothesis conflicts with the premise. The premise states A bus overloaded with passengers in a foreign country, which contradicts the claim that A car is driving with one person inside."
Sparks flying behind a pipe.,A man is welding and the sparks are flying behind a pipe.,1,neutral,"The premise gives related context (A young man wearing a green shirt is tending to a tomato plant), but it does not provide enough evidence to confirm or deny that A man tends to his tomato plants while checking his garden for bugs."
A woman on the stairs outside of a building closed for private function in a white dress.,The woman is waiting to enter the building for her wedding.,1,neutral,"The hypothesis conflicts with the premise. The premise states This vehicle has people hanging on the outside as it is driving down a road, which contradicts the claim that They are on motorcycles."
"Pedestrians, parked cars, and a graffiti-covered wall in New York City's Chinatown.",China Town is very noisy.,1,neutral,"The premise gives related context (A young man practices a martial art kicking skill in front of his home in the), but it does not provide enough evidence to confirm or deny that The man is in a white uniform."
A statue of grim bicycle riders.,A painting of bicycle riders.,2,contradiction,"The premise gives related context (A soaking wet man carrying his also wet friend in his arms is laughing), but it does not provide enough evidence to confirm or deny that The man just rescued his friend from drowning."
A quarterback hands off the football to a running back.,The wide reciever catches a touchdown pass.,2,contradiction,"The premise gives related context (A person wearing a mask is kneeling down and holding a lightsaber above his head), but it does not provide enough evidence to confirm or deny that The person is pretending he's a Star Wars person."
"One man wearing glasses, sitting at a desk with a computer and cup of coffee and his hand to his face",A woman in a bar is sitting at her computer.,2,contradiction,The hypothesis is supported by the premise: The man has his arm on the woman as they shop in an outdoor market. This is consistent with the claim that The man and the woman are shopping.
Young boy in cowboy hat wants to play guitar.,A young boy wants to play an instrument.,0,entailment,The hypothesis is supported by the premise: A child in a red snowsuit stands next to a snow pile. This is consistent with the claim that A child wearing red stands next to a pile of snow.
A group of people stand and wait to see something.,a group of people are flying with superman,2,contradiction,"The premise gives related context (Two young children in gray clothing are coloring with pencils), but it does not provide enough evidence to confirm or deny that The children are coloring pictures for a contest."
"A woman wearing blue nail polish is showing her ""no regrets"" tattoo to the camera.",A woman with a yellow shirt is showing her tattoo to the camera.,1,neutral,"The premise gives related context (Two large dogs one light colored and one dark running through snowy terrain), but it does not provide enough evidence to confirm or deny that Two dogs being playful and nice."
Men in white suits stand in the road and along the side of the road.,There are men by the road,0,entailment,The hypothesis is supported by the premise: Two men and a woman are laughing about trying to knit at a party. This is consistent with the claim that The people are laughing.
"A man riding a horse, competing to be number 1.",a man is outside,0,entailment,"The hypothesis conflicts with the premise. The premise states Guy playing the sax on stage, which contradicts the claim that The man is playing trumpet."
"Three men, one in a blue shirt, one in a striped shirt and one in a white shirt are talking.",The men are all wearing the same green colored shirt.,2,contradiction,"The premise gives related context (two indian children walk and ride bikes down the street), but it does not provide enough evidence to confirm or deny that two children are heading to the market."
"An underwater photographer swims under the beautiful sea, yet above the white sand in the clear water with a large camera as she takes photo's from underneath the water.",A swimmer has a camera.,0,entailment,"The hypothesis conflicts with the premise. The premise states A woman in a teal shirt and a beige cardigan looks away from the board game, which contradicts the claim that The woman is staring intensely at the position of the game."
A small boy grins in a crowd full of people posing with their eyes closed in a sleeping position.,A small boy sleeps on the couch.,2,contradiction,"The premise gives related context (Two men playing ball one white one black with the black one leaping towards the right), but it does not provide enough evidence to confirm or deny that The black and white man are on the same team."
An elderly man stands on a ladder tending the leaves of a tree.,The man is close to a tree.,0,entailment,"The hypothesis conflicts with the premise. The premise states People walk about the Chinese storefronts and a man sits outside at a table with a, which contradicts the claim that A woman sits indoors in front of a tv."
Dark-haired man with beard reading while drinking coffee at a counter.,man reading a book while having coffee,0,entailment,"The hypothesis conflicts with the premise. The premise states A construction worker working in dust filled area, which contradicts the claim that The worker is underwater."
"An elderly oriental looking woman, in a black jacket with flower print, is holding up a smiling baby in a brown hooded outfit with flower print.",The baby is crying.,2,contradiction,"The hypothesis conflicts with the premise. The premise states A man in a blue jacket has fallen asleep while sitting on a fold able chair, which contradicts the claim that The person is wide awake."
A man in a leather jacket and cowboy hat walks through a mall.,A woman in a leather jacket and cowboy hat walks through a mall.,2,contradiction,The hypothesis is supported by the premise: A boy in a blue shirt sheep wrestling with a rodeo clown in the background. This is consistent with the claim that A boy is sheep wrestling.
The little girl wearing a pink hat is bending down to pick up a soccer ball.,Little girl is laying on a blanket,2,contradiction,"The hypothesis conflicts with the premise. The premise states Small boy walking towards the left with the bases of trees in the back, which contradicts the claim that A little girl is watching TV."
A person collecting flowers in a silver bowl.,Someone putting roses in a bowl.,1,neutral,"The premise gives related context (Man with sunglasses singing with his band), but it does not provide enough evidence to confirm or deny that The man is a rock star."
"Runners are running on a street, followed by a two men on a scooter.",Runners fall down with beach water,2,contradiction,The hypothesis is supported by the premise: A man in a suit stands next to a white carriage pulled by two white horses. This is consistent with the claim that A bride in a carriage.
A black dog jumping.,A black dog lying on the floor.,2,contradiction,"The hypothesis conflicts with the premise. The premise states Man with red shirt zipping up his pants, which contradicts the claim that the turkey is waiting for some juicy batches on mturkgrind."
a bicyclist jumping a trick on a bike,A person is running around a house.,2,contradiction,"The hypothesis conflicts with the premise. The premise states A woman in bright clothes with a folded blanket on her head, which contradicts the claim that A man in bright clothes with a folded blanket on her head."
A pitcher from a Houston baseball team is mid-throw.,In houston a professional pitcher warms up his arm.,1,neutral,"The hypothesis conflicts with the premise. The premise states Two kickboxers during a match outside, which contradicts the claim that Boxers are reading newspaper."
A police officer with blue outfit and red helmet rides through town.,The police officer has on a blue uniform.,0,entailment,"The premise gives related context (On a cloudy day a man in black clothing and a black hat walks toward a), but it does not provide enough evidence to confirm or deny that The man is walking down a sidewalk."
The girl on the unicycle reaches out for the child on the scooter.,a unicyclist reaches out,0,entailment,"The premise gives related context (Snowmobiler riding snowmobile with front end up in the air), but it does not provide enough evidence to confirm or deny that Snowmobiler riding in the air."
Group of people waving small American flags by a fence.,A family waves flags in their front yard as a veteran passes them on his return home,1,neutral,"The hypothesis conflicts with the premise. The premise states Man holding a cane outside on a sunny day, which contradicts the claim that A man is holding an umbrella in the rain."
A group of men on a boat that is tipped wearing helmets.,A bunch of guys are on a boat.,0,entailment,The hypothesis is supported by the premise: A woman with a push to talk cellphone and headset waiting at a crosswalk. This is consistent with the claim that A woman is standing on the streets.
An older woman watches a younger woman play with a child.,An older woman is playing a board game with her grandchild.,2,contradiction,"The premise gives related context (A dark haired woman wearing a brown jacket and fatigue bottoms and a balding man wearing), but it does not provide enough evidence to confirm or deny that A man and his wife stand at the foot of the surf."
A man pulling a small child out of a ball pit,The child is small.,0,entailment,"The hypothesis conflicts with the premise. The premise states An older artist painting while his sitting dog looks on, which contradicts the claim that the artist is on the computer."
A man standing with some other men putting on a black shirt.,Some men are putting on clothes.,1,neutral,"The premise gives related context (A man riding his bicycle near the ocean), but it does not provide enough evidence to confirm or deny that The man rides along the boardwalk."
Three individuals climbing up a mountain on skis.,Three people are skiing.,0,entailment,"The hypothesis conflicts with the premise. The premise states A woman wearing a blue vest seems to be in a very messy area, which contradicts the claim that The baby is taking a nap."
One baseball player is on the ground with his mouth open while another jumps above him.,One baseball player is on the ground while another jumps up and down on him while cackling.,2,contradiction,"The hypothesis conflicts with the premise. The premise states A woman in a pink skirt is serving a ball in a tennis game, which contradicts the claim that A man in blue shorts is serving a tennis ball."
a skier on a snowy ski jump,a skier performs a jump during the olympics,1,neutral,"The hypothesis conflicts with the premise. The premise states a man in a green shirt near a orange cone, which contradicts the claim that A boy is playing ball in the street."
A skateboarder doing a jump.,A skateboarder is doing a jump off of a ramp.,1,neutral,"The premise gives related context (A man in a trench coast waiting to cross a cross a street in downtown), but it does not provide enough evidence to confirm or deny that A man waiting to cross Times Square."
A man is taking bread out of the stove.,A man is swimming in the sea.,2,contradiction,"The hypothesis conflicts with the premise. The premise states People are standing and discussing in a road near a bus, which contradicts the claim that People are pushing the bus."
A woman wearing a very short dress standing up with her cellphone to her ear.,A person is talking on a phone.,0,entailment,The hypothesis is supported by the premise: A shirtless man in jean shorts fishing off the rocks. This is consistent with the claim that A person is fishing.
Religious leader is being escorted to his thrown.,Religious leader walkind on his legs,2,contradiction,"The premise gives related context (Women in a forest exploring nature), but it does not provide enough evidence to confirm or deny that Women are in a forest checking out nature with more friends."
A young man reading in the street while sitting at a table.,A man is not reading,2,contradiction,"The hypothesis conflicts with the premise. The premise states A man in blue jacket stands amidst ice with shovel in his hand, which contradicts the claim that The man in a jacket has an axe and is making firewood while standing on ice."
A person with braided hair and a gray sweatshirt is sitting down.,a person is sitting down,0,entailment,The hypothesis is supported by the premise: A group of people playing roulette in a casino. This is consistent with the claim that some people play roulette.
A little girl sits alone on a park bench with city buildings in the background.,A girl sits alone on a bench.,1,neutral,"The premise gives related context (The woman holding a black purse is smoking a cigarette), but it does not provide enough evidence to confirm or deny that The woman is a world famous actress waiting for her limo to pull up to the."
A girl with dark hear pulled back in a ponytail and wearing a red shirt walks back after having thrown her bowling ball.,A girl is disappointing after losing in a game of bowling.,1,neutral,"The premise gives related context (A man wearing a short sleeved checkered shirt holds a camera with a large lens to), but it does not provide enough evidence to confirm or deny that a camera that is worth 50 000 is being held."
A man with black hair and a brown shirt creates portraits of people.,The man is a professional portrait maker.,1,neutral,"The hypothesis conflicts with the premise. The premise states A woman with a pink uniform is standing on a volleyball court, which contradicts the claim that The woman's blue shirt was entirely too big."
Three trampolines sit below a bungee swing contraption.,The trampolines belong to a gym.,1,neutral,"The premise gives related context (Two young ladies pose outside of a brick building and smile for the camera), but it does not provide enough evidence to confirm or deny that The ladies are getting a picture made."
a little boy in his underwear raises his left hand.,a little boy raises his hand.,0,entailment,"The hypothesis conflicts with the premise. The premise states A puppy dog is playing with a branch, which contradicts the claim that A cat is playing with a mouse."
A baby is grabbing Micky Mouse by the nose.,a baby boy grabs mickey mouse,0,entailment,"The hypothesis conflicts with the premise. The premise states A little girl is looking a microscope while wearing a pink furry jacket, which contradicts the claim that scientist has no microscope to look at."
A rock band is playing for a crowd.,There are no people.,2,contradiction,The hypothesis is supported by the premise: girl in blue shirt playing the clarinet. This is consistent with the claim that A girl is playing a clarinet.
A little girl in pink and blue jumps over a puddle.,The little girl jumped over the puddle.,0,entailment,The hypothesis is supported by the premise: A woman in a red cap in a store. This is consistent with the claim that A woman is in a red cap.
Man in blue shirt shooting a rifle.,The man is firing a gun.,0,entailment,The hypothesis is supported by the premise: Skateboarder grinds a concrete railing. This is consistent with the claim that Someone is skateboarding.
Three men walk in a parking lot toward a factory.,The men are standing indoors.,2,contradiction,"The hypothesis conflicts with the premise. The premise states A man in a dark sweatshirt is sitting at a table with a red pen and, which contradicts the claim that the only person at the table was a bunch of women."
A boy with dark and a woman in a brown shirt are playing with a purple stuffed toy.,The woman in a brown  shirt and the boy in a dark shirt play with the purple stuffed toy.,0,entailment,The hypothesis is supported by the premise: A woman in a red vest stands in a crowd. This is consistent with the claim that There is a group of people standing outside.
A little girl in a blue helmet is petting a horse.,A little girl is pettign a horse.,0,entailment,The hypothesis is supported by the premise: A man stands on stage with a fireworks going off beside of him. This is consistent with the claim that The fireworks are bright and noisy.
A person is jumping on a snowboard on a snowy hill with several trees in the background,Someone is skiing.,2,contradiction,"The hypothesis conflicts with the premise. The premise states Some kids playing near the street, which contradicts the claim that The kids are studying for a test."
A woman with a large purse is walking by a gate.,A woman approaches someone's house.,1,neutral,The hypothesis is supported by the premise: A person wearing a helmet and pads is riding a dirt bike and jumping over a. This is consistent with the claim that there is a person out for a bike ride on a dirt road.
A child swims with a woman.,Two people in water.,0,entailment,"The hypothesis conflicts with the premise. The premise states Two women riding tricycles, which contradicts the claim that Two men riding tricycles."
"A basketball is up in the air above players on two teams, one team is wearing white and the other team is wearing navy blue.",The ball is up in the air.,0,entailment,"The premise gives related context (A young boy looks through a tube), but it does not provide enough evidence to confirm or deny that A young boy looks at someone through a tube."
Four people with painted faces stand outside of a building.,Four Samoans stand outside with traditional face paint on.,1,neutral,"The premise gives related context (Men in old fashioned uniforms playing flutes while marching in a parade), but it does not provide enough evidence to confirm or deny that The men are celebrating the 4th of July."
The lady on the street seemed very intoxicated.,The lady has drank alcohol recently.,0,entailment,"The premise gives related context (A woman is at the beginning stage of knitting something amazing in a room filled with), but it does not provide enough evidence to confirm or deny that People are in a knitting class."
Two men are playing in a sports game together.,Two men watch football on TV.,2,contradiction,"The premise gives related context (Sanitation workers on a midday break), but it does not provide enough evidence to confirm or deny that Sanitation workers are smoking cigarettes together."
A guy with a goatee is smiling at the camera while a female hugs him from behind.,The guy is pretending to smile.,1,neutral,The hypothesis is supported by the premise: One dog with an object in its mouth is met by another dog nearby a fence. This is consistent with the claim that Two dogs close to a fence.
Three Black men outside of a building.,The three black men are swimming in the ocean.,2,contradiction,The hypothesis is supported by the premise: Crazy looking guy hard at work in his cube. This is consistent with the claim that guy at work.
3 men in t-shirt and shorts sitting on the grass eating food.,The 3 men are outside in their t-shirts.,0,entailment,The hypothesis is supported by the premise: A man with a mohawk and makeup is talking to a girl dressed in a purple. This is consistent with the claim that Two people are talking.
Gymnast lying on the floor with one leg pointed up at the ceiling.,The person is performing a routine.,1,neutral,"The hypothesis conflicts with the premise. The premise states People are looking at pieces on display at a museum, which contradicts the claim that People are outside watching a sport."
Children playing games at build-n-paint.,The kids are taking naps,2,contradiction,"The hypothesis conflicts with the premise. The premise states A man in a blue shirt sitting on a red seat watching people walking by, which contradicts the claim that the guy eats pancakes at home."
A pastor on a cellphone in front of a stone building with five officers wearing green uniforms; two are standing while the others are seated.,The man is outside.,0,entailment,"The premise gives related context (A man his little son and their dog going for a walk in the mountains), but it does not provide enough evidence to confirm or deny that The man is showing his son how to grow crops in a steppe garden."
A girl is giving a dog a treat.,A girl gives the dog a treat.,0,entailment,"The premise gives related context (A dark figure on a surfboard is riding the waves of some aquamarine colored water), but it does not provide enough evidence to confirm or deny that The dark figure is a man."
A dog swims through water.,A dog swims in the pool.,1,neutral,"The premise gives related context (The two dogs are running through the grass), but it does not provide enough evidence to confirm or deny that The grass is long."
People are climbing a rock face.,people are trying to get to the top of the mountain to meet a friend,1,neutral,"The premise gives related context (A woman is bagging groceries in a store), but it does not provide enough evidence to confirm or deny that A young woman is packing a few things in bags and plastic."
Children are in wooden boats on a lake.,Kids in boats.,0,entailment,"The hypothesis conflicts with the premise. The premise states A person wearing black clothing walks up a narrow flight of stairs between two bright red, which contradicts the claim that The man is wearing a red jacket."
A group of martial arts students wearing black uniforms practicing hand to hand.,There are martial arts students practicing.,0,entailment,"The hypothesis conflicts with the premise. The premise states A girl jumps in the grass, which contradicts the claim that A boy is bouncing on a trampoline."
Girl working on laptop in a coffee shop,Girl reading a magazine at home.,2,contradiction,"The premise gives related context (Someone is holding a young women on their shoulders for her to be able to reach), but it does not provide enough evidence to confirm or deny that A man is holding a young woman on his shoulders so that she can reach the."
Little boy laying in a pile of leaves next to a skateboard.,the little boy was on the swing set,2,contradiction,"The hypothesis conflicts with the premise. The premise states A man in a crowd wears a red hat and a red bandanna over his face, which contradicts the claim that A man is eating in Restaurant."
Man sitting on chair fishing,the man is standing,2,contradiction,"The premise gives related context (A man running away from a charging bull), but it does not provide enough evidence to confirm or deny that A man is at Running of the Bulls."
"A street performer strumming on his guitar, waiting for people to toss him tips.",a homeless person earns money,1,neutral,"The premise gives related context (A group of people are swimming in clear blue water), but it does not provide enough evidence to confirm or deny that The people were wearing bikinis."
The boy has blond-hair and a dirty face.,The boy has blond hair.,0,entailment,"The premise gives related context (Two men are pushing a stroller in an amusement park), but it does not provide enough evidence to confirm or deny that The two gay men are pushing a stroller."
A dark-skinned man with a plaid shirt is standing by a cart with grains and produce.,A man is selling flowers on the side of the road.,2,contradiction,The hypothesis is supported by the premise: A woman of Middle Eastern descent is using a loom. This is consistent with the claim that A Middle Eastern woman is weaving on a loom.
A car stopping in front of a restaurant.,The sedan stopped in front of the fine dining establishment.,1,neutral,"The hypothesis conflicts with the premise. The premise states A group of Palestine men protesting on a street, which contradicts the claim that Young women mill about the exterior of a Dairy Queen."
A girl is taking pictures in front of a music store.,the girl is taking selfies in front of the store,1,neutral,"The hypothesis conflicts with the premise. The premise states Two men together one watching one resting, which contradicts the claim that One man is playing basketball."
A street musician playing.,A street musician is outside.,0,entailment,"The premise gives related context (Three members of a band performing on stage), but it does not provide enough evidence to confirm or deny that a band is about to break up."
A woman sitting at a counter is looking up.,A woman is steaming rice on the stove.,2,contradiction,"The hypothesis conflicts with the premise. The premise states A baseball team is playing a game during the night, which contradicts the claim that The people are sitting on a couch."
A man sits in a wheelchair as a woman pushes him.,The man is elderly.,1,neutral,"The hypothesis conflicts with the premise. The premise states This is a view of a stadium containing a Jumbotron and a track on which several, which contradicts the claim that A hockey arena is pictured."
Older man in red hat holds up a sign during protest,There is an older man.,0,entailment,The hypothesis is supported by the premise: A man dressed in a white suit with a red cowboy hat riding a bike. This is consistent with the claim that A person in white is sitting on a bike.
