premise,hypothesis,label,explanation,label_name
A man at work is doing a small welding job with a soldering tool.,A man is working.,0,Doing a small welding job is working.,entailment
A large goalie towers over his opposing teammates.,The teamates hate eachother.,1,Can't determine how the teammates feel about each other. So the fact that they hate eachother can't be inferred,neutral
A city street has a oriental store on the corner of a one way street.,There is a oriental store on the corner,0,A corner of a one way street is a corner.,entailment
The child has his mouth open and is surrounded by adults dancing.,The child is learning to dance,1,You can not infer the child is learning.,neutral
The football player runs the ball past the referee.,The person is playing football.,0,The football player and the person have similar meaning.,entailment
The girl eating spaghetti is wearing a red jacket.,There is a girl in red eating food.,0,Spaghetti is food.,entailment
Three women are cultivating plants in a flooded riverbed.,Three woman gardening,0,Cultivating plants is gardening,entailment
a man is being photographed by another man while others around him are preparing for a parade,A man photographs a celebrity at the Macy's parade.,1,A man being photographed is not always a celebrity while the parade could be anywhere and for anything besides the Macy's parade.,neutral
A group of young people are enjoying a concert.,The kids enjoy the hip hop concert.,1,Not all concerts are hip hop.,neutral
"Two men in jeans and white sneakers are walking in an urban area, and a couple of women are nearby.",Two men are wearing the same kind of pants.,0,men is jeans implies men have same kind of pants,entailment
"A woman in a purple top and black shorts and a woman in a gray top and blue shorts, wearing brown and black hats respectively, walk on a street past a woman in a black top and a brown skirt holding a black bag.",Two friends discuss how to get rich as they walk down the street.,1,"Just because two women walk together does not mean they are friends, and not every conversation is about how to get rich.",neutral
"A little girl wearing a white sweater, seated in front of a colorful cake, she laughs with an upward gaze.",It is the little girl's birthday.,1,It could be someone else's birthday.,neutral
A kid swings with his feet up in the air in a forest.,A young boy swings in the forest on his family's land,1,WE DONT KNOW IF HE IS YOUNG.    WE DON'T KNOW IF HE IS ON HIS FAMILY'S LAND.,neutral
"This is an Asian man in the 2012 olympics, whom is weightlifting.",A man is competing at the Olympics for the gold.,1,He may be weightlifting without competing. The man may be competing for a bronze or silver medal and not for the gold.,neutral
A woman is pointing at a computer device for a young girl,A woman is teaching a girl how to code.,1,Someone pointing someone else to a computing device is not necessarily teaching them how to code.,neutral
A man under colorful stage lights playing a guitar.,A man plays an electric guitar.,1,Just because a man under colorful stage lights playing a guitar does not imply that he plays an electric guitar.,neutral
a black and white dog jumping into a pool with a lot of tennis balls in it.,This picture shows a dog that's moving around.,0,black and white dog is a dog,entailment
"A woman in a black shirt holding a cherry pie on top of her head, the pie is still in the baking dish.",A woman is hold a desert over her head.,1,A cherry pie is not necessarily a desert.,neutral
A child in a light blue shirt crying.,The girls were laughing at the boys jokes.,2,Laughing is different than crying.,contradiction
Two men with brown shirts are working on building a brick house.,Two men are working on building.,0,A brick house is a kind of building.,entailment
A woman is holding a little girl who is trying to catch bubbles.,A woman is not holding a little girl.,2,If a woman is holding she cannot be not holding.,contradiction
"A woman with blond-hair and a cowboy hat, is holding the American Flag while riding a brown horse in an arena.",The women is performing for an audience.,0,Riding a horse in an arena implies one is performing for an audience.,entailment
The group of hikers is resting in front of a mountain.,People relax at the beach.,2,The hikers can be either resting in front of a mountain or at the beach.,contradiction
A little boy in yellow clothing running towards a blue house.,The boy is little.,0,Boy is little is rephrasing of little boy.,entailment
Men sitting around a man wearing yellow next to a firetruck.,Men gather next to a firetruck,0,Sitting around is a form of gathering,entailment
"A police officer wearing dark pants, a long-sleeved blue shirt, white gloves, a white hat, and an orange ""TRAFFIC"" vest is standing in the street directing vehicles.",A fireman dancing the hokey pokey in the firehouse.,2,standing and dancing are different actions,contradiction
A Street corner is inhabited by a number of people standing outside a coffee shop.,No body is drinking coffee outside.,2,"If there are people standing outside a coffee shop, then people are probably drinking coffee outside. Nobody is not drinking.",contradiction
Two barefooted people are walking down a paved road with an upside swimming pool on their heads.,Two people walking down a paved road.,0,Walking down a paved road means same as walking down a paved road.,entailment
A man and a canine both stand on a snowy plane looking out into the distance.,The man only has a cat.,2,Cat and canine are different,contradiction
"A boy in a striped blue shirt and gray pants, holding a blue scooter, is looking across a river.",A boy is swimming in the ocean.,2,The setting cannot be both a river and the ocean.,contradiction
The dog is wearing a pink sweater.,The dog is sleeping.,2,The dog is wearing a pink sweater. The dog could be sleeping but its not in sentence one so I am not sure.,contradiction
"A man attempting to hit a pool ball, while other men watch.",Two men sit on barstools and watch as a thrid attempts his shot.,1,Other men does not necessarily mean two men. Just because two men are watching a pool shot does not mean they sit on barstools.,neutral
"Two children, an older boy and a younger girl, are walking down a sidewalk wearing their winter coats.",Two people are wearing shorts in the summer.,2,"Two people cannot be wearing their winter coats because it is cold outside, and at the same time be wearing shorts because it's summer.",contradiction
A man is waiting for his food to come.,A man waits for his pizza.,1,Not all food is pizza.,neutral
People are standing on a railway platform reading newspapers.,People are standing and reading newspapers.,0,"People who are ""standing on a railway platform reading newspapers"" is a rephrasing of people who are standing and reading newspapers",entailment
People wearing bathing suits on a wet surface.,Some people in formal wear are somewhere dry.,2,"People are somewhere wet, not dry.",contradiction
A black dog holding a weight in its mouth stands next to a person.,A dog is helping his owner workout.,1,The dog may not be helping. The person doesn't have to be his owners. The presence of a weight doesn't mean there is a workout,neutral
A man sitting on a park bench watching pigeons.,A man bicycles through a park.,2,bicycles and park are different things,contradiction
A man with glasses playing a guitar.,A man plays guitar.,0,Playing and plays guitar can be used interchangably,entailment
Artists in white reach towards the audience.,There are mimes wearing red.,2,not all the artists are mimes,contradiction
A guitar player dressed as Santa Claus is getting ready with his mic.,A guitarist gets ready to perform.,0,"A guitar player is a guitarist. If he is getting ready with his mic, then he is getting ready to perform.",entailment
"Two wrestlers are fighting, the wrestler in blue has the advantage.",Two wrestlers are fighting.,0,The two wrestlers are definitely fighting.,entailment
A young man is doing a skateboarding trick while two guys take pictures and another is riding a scooter.,A group of men take pictures of tricks,0,A young man is doing a skateboarding trick while two guys take pictures implies a group of men take pictures of tricks,entailment
Several boys are playing football in the grass.,Boys are playing a homecoming game,1,Not all boys playing football in the grass are playing a homecoming game.,neutral
an oil stained sidewalk with a walker next to it,The sidewalk is wide.,1,The sidewalk can be narrow or wide,neutral
Man in black walking a lot of dogs.,The man walks 15 cats,2,If a person walks 15 cats they would not also be walking a lot of dogs because there would likely be animal bloodshed if they did.,contradiction
A man in ice climbing gear holds a rope.,A sherpa prepares for an expedition to the top of Mt. Everest.,1,Man does not imply sherpa and climbing does not imply prepares for an expedition to the top of Mt. Everest.,neutral
Three people on swings.,Three people are feeling air in their hair.,0,Someone feels air in their hair when someone swings.,entailment
Two men are playing music together with a clarinet and an accordion.,Two men are playing at a concert.,1,Two men playing music together does not mean they are playing at a concert.,neutral
"A woman sitting at a desk labeled Programmes and Ice Cream, the stand appears to be out of ice cream.",a man gobbles up ice cream alone at home,2,There can either be a man or a women.,contradiction
Two women at a food bank in Central Illinois.,Two women at a supermarket in Los Angeles.,2,The women cannot be at the food bank in Central Illinois and a supermarket in Los Angeles at the same time.,contradiction
In this picture we have about 11 girls posing for a picture in a pool.,The lonely girl in the pool is lazily swimming around the pool.,2,A lonely girl in a pool means just one person whereas 11 girls is 11 people. Someone lazily swimming is unlikely to be posing for a picture at that moment.,contradiction
There is an oriental man climbing up a mountain.,There is a local oriental man guiding tourists up a mountain.,1,Climbing up a mountain does not necessarily mean guiding tourists.,neutral
A man in a white shirt and sunglasses and a man in a black shirt and sunglasses sit at a table with four beer bottles.,A man in a blue shirt and a woman in a red shirt enjoy two glasses of wine together.,2,"A man and woman are different genders. One man cannot simultaneously wear a blue shirt, a black shirt and a white shirt. Beer and wine are different alcoholic beverages, and there are a different number of drinks.",contradiction
A man in baggy khaki clothes is carrying a white canoe down a rocky incline while a black dog looks back at him.,A man and his dog are playing fetch in a park.,2,If the man is carrying a canoe he isn't playing fetch.,contradiction
"A little girl in a pink shirt is outside, looking at newspapers in a rack.",A little girl in pink shirt is arranging newspapers.,0,"Newspapers, have be moved to be looking at in a rack, so a girl would be arranging newspapers to be in a rack",entailment
A man holding a camera underwater.,"A man takes pictures standing on the beach, avoiding putting his camera near the water.",2,if the man is underwater than he cannot be standing on the beach.,contradiction
A woman with a cup and a yawning man are sitting in front of the Cigar Company shop.,The woman is yawning cause she is bored.,2,It can either be a yawning man or woman.,contradiction
A bald man with an earpiece is smiling nearby a building opening.,The man is on the phone.,1,"Just because someone is smiling with an earpiece, does not mean they are on the phone.",neutral
"A guy in a brown shirt, a girl in a black shirt, and a guy in a plaid suit are playing in a band.",The band is playing.,0,Three people are playing in the band.,entailment
"An older gentleman, dressed in jeans and a long-sleeved shirt, tosses a small red ball on the beach.",A man is tossing a ball for his dog.,1,"An older gentleman, dressed in jeans and a long-sleeved shirt, tosses a small red ball on the beach does not indicate that a man is tossing a ball for his dog.",neutral
The man with the cane is on a walk.,A man sits on a bench with is cane.,2,A man on a  walk cannot also be sitting.,contradiction
An Asian man and woman embrace tenderly on a patio with plants.,A couple celebrate their anniversary with a dance outside.,1,"We have no idea if they are celebrating their anniversary, many people embrace for many reasons. We have no idea if they are trying to dance, they could just be standing or even sitting.",neutral
A woman smiles while holding several green peppers at a grocery stand.,A woman also holds several red peppers.,1,Red peppers are not green peppers.,neutral
A caucasian female hairdresser trims the hair of a young white man wearing a black drape cover.,person wants new hair cut,1,The man getting his haircut does not imply that the man wants a new hair cut.,neutral
An elderly man is getting his shoes shined at a mobile shoe shining shop.,The old man is walking to lunch.,2,The man can not both be sitting and getting his shoes shined AND walking to lunch.,contradiction
Two emergency responders are at the scene of an incident.,The emergency responders are on the scene.,0,at the scene of an incident implies they are on the scene.,entailment
Asian city scene of people in street with bright lights and glass buildings behind.,The scene is in the evening.,1,We don't know that it is in the evening.,neutral
A boy trying to slide to safety in a game of baseball.,the boy is playing a board game,2,One cannot be playing baseball and a board game simultaneously.,contradiction
A black and white dog is going through an obstacle course.,A giraffe is eating a person.,2,Dog and giraffe are two different animals.,contradiction
Two men sit on a pontoon boat holding oars and wearing hats.,two men are holding oars in their boat rowing down lake superior,1,Holding oars does not imply that they are rowing.  Being in a boat does not imply that they are on lake superior.,neutral
a man holds his parachute.,THE grass was green,1,Not all grass is green.,neutral
A group of people sit at a table in front of a large building.,People are at a rock concert.,2,There are no tables at rock concerts.,contradiction
"A stylish, blond young woman sitting on a bench.",A stylish woman is resting her legs.,0,Sitting on a bench can be implied as an act of resting our legs.,entailment
A dog distracts his owner from working at her computer.,The busy author is distracted by her dog.,1,A person working on her computer doesn't have to be an author.,neutral
A man on a beach building a sand castle.,The man is on a ship.,2,The man cannot be on a beach and on a ship at the same time.,contradiction
a person in midair doing a back flip.,The person is standing on the ground.,2,It is impossible to be in midair while standing on the ground.,contradiction
A group of four woman culturally dressed are giving information to a fifth woman of the same culture.,Four women are talking to a new girl in the group.,1,Just because women are giving information to another does not mean that the other is a new girl to the group.,neutral
A man sitting on a chair with a beer in his hands roasting something to eat on a wooden stick.,A man is drinking a glass of wine as he eats a bag of chips.,2,Beer is not wine.,contradiction
"A young boy, dressed in a karate gee and wearing a yellow belt, stands ready to defend himself inside a gym.",A boy is taking a karate class.,1,Just because a boy is dressed in a karate gee and is in a gym does not mean he is taking a karate class.,neutral
woman wearing black shirt and glasses on head reacting to something,A woman wearing a black shirt and glasses reacts to something.,0,Reacting to something is the same as reacts to something. It is just a change of tense.,entailment
"Three construction workers work along side the street, with one man in a blue jacket and orange safety vest shoveling, and two others holding a pole.",Three construction workers are working on the street.,1,"Just because the workers are working along side the street, that does not mean they are working on the street.",neutral
Children read a bunch of comic books while eating corn dogs.,A group of children are going to bed.,2,People do not eat while they are going to bed; they are going to bed to sleep.,contradiction
A girl in white and a girl in green walk past a blue car wash station.,two girls walk past a car wash,0,car wash same as car wash station.,entailment
"Three guys, one playing the guitar, one playing the keyboard accordion and one playing the violin.",All three guys are playing guitars.,2,One is less than all.,contradiction
a young girl putting a red ball in a black dogs mouth on the beach,The dog is playing fetch.,1,Putting a ball in a dog's mouth does not mean that he is playing fetch.,neutral
Two soldiers stand in front of children's toys.,Two fat soldiers stand in front of children's toys.,1,Two soldiers stand in front of children's toys does not indicate that they are fat soldiers,neutral
A tired looking child is sitting in a stroller and rubbing its eyes.,a child is dancing,2,child sitting cannot be a child dancing at the same time,contradiction
A black man leans over as a white man jumps on his back backwards.,Two man are laying in bed.,2,One who jumps cannot be laying at the same time.,contradiction
A young man in a yellow shirt welding some metal.,A young man in a yellow shirt welding some metal rods.,1,The metal could be something other than rods.,neutral
A red-haired woman dressed in black looks down at the papers in her hands as a subway train approaches.,A woman is standing on a subway platform.,0,A red-haired woman looks at the papers of a subway train approaches on a subway platform.,entailment
A couple on the stairs are photographing a man and woman embracing in front of a building.,The couple of photographers are happily married.,1,Not all couple embracing are happily married.,neutral
A boy is leading donkeys on a path.,The donkeys are wearing ice skates.,2,It is either a boy or the donkeys,contradiction
White greyhound racing as dog number 1.,A dog racing.,0,A white greyhound is a dog; that it is racing is firmly established.,entailment
The men are passing a child to each other over the side of the boat.,The people are running a marathon.,2,Running a marathon is not on a boat and not passing a child over the side of a boat.,contradiction
a couple of people struggling through a muddy pit,They are swimming in the fish tank,2,The people can't be swimming while struggling through a pit.,contradiction
Seven children wearing assorted formal outfits posing on a shiny floor.,The children are naked,2,One cannot be wearing a formal outfit while naked.,contradiction
A small child running down a bridge.,Kid running down a bridge toward his mother.,1,Running down a bridge does not imply it is toward his mother.,neutral
Young girl in pink coat walking beside man dressed in clown attire and striped pants down a sidewalk.,A girl with pink coat is walking beside clown man.,0,"A young girl is a girl and the man is a clown man,",entailment
"A person with dark hair wearing a white tank top, red pants and white shoes is walking down a sidewalk with artwork displayed against a wall.","A person sits on the curb, contemplating life.",2,A person cannot be walking down a sidewalk and sit on the curb at the same time.,contradiction
A trumpet player is playing music with his partner.,A man is playing a trumpet while his partner plays a different instrument.,1,A trumpet player has not been identified as a man.,neutral
A boy wearing blue and yellow walking on a cliff edge.,The boy is wearing a green coat.,2,Blue is not the same color as green,contradiction
Two young girls are wading in the ocean wearing shorts and sweat shorts.,The two young girls are sisters.,1,You can not infer they are sisters.,neutral
A man sitting in front of his computer looking at his email.,A man is playing a video game on his  computer.,2,The man cannot be playing games and reading his email at the same time,contradiction
Two men sit at work computers and work at night.,Two men working on a program.,1,Not all men are sitting working on their computers are working on a program.,neutral
Several military men surrounding women who are sitting on the ground with flags.,A group of men attack women sitting with flags.,2,They are surrounding women not attacking women.,contradiction
A man is sitting at a desk in front of four lit computer monitors.,A man is sitting at his desk reading a book.,2,A man can be reading a book sitting in front of four lit computer monitors.,contradiction
The adult is covering their face with a piece of clothing outside,The adult is outside.,0,People are usually covering their face when they are outside.,entailment
Two women are jogging down a sidewalk past a cafe with yellow doors.,Two women are jogging in the wilderness.,2,There is not a sidewalk in the wilderness.,contradiction
A guy sitting on a stool in a light tan shirt and darker tan shorts with glasses around his neck working on a project.,A man in all blue is dancing.,2,A man can be in either light tan shirt and darker tan shorts or in all blue and can either be working on a project or dancing.,contradiction
The white and black dog is running through a field.,Two dogs are eating spaghetti in a fancy Italian restaurant.,2,You can't be running while eating spaghetti.,contradiction
There are two people on a bench talking and in the background is a woman on a bike walking a dog.,Three people and a dog outside.,0,Two people and a woman are three people.,entailment
A man playing a round of golf at the golf course.,A man playing a round of golf in penny loafers.,1,The man playing golf has not been identified to be playing in penny loafers.,neutral
A little boy is pointing his finger on a dish while a man holds the dish.,The dish being pointed at is special.,1,We don't know if the dish is special.,neutral
Person hiking up a rocky slope with white objects in front of them.,A young male hikes up a rocky slope.,1,Not every person is a male.,neutral
A man in black is juggling 3 flamed bottles.,A man is on fire and rolling on the ground.,2,A man is either juggling or rolling on the ground.,contradiction
Two men loading very bright blue colored containers on to a ship.,Guys put some boxes on a boat.,1,Men can put boxes on a boat without the boat being a ship and without having containers.,neutral
Two women laughing at a cat walking on the furniture.,A couple is laughing at a dog.,2,Cat and dog are different.,contradiction
A man in a red shirt with dreadlocks is holding one cheek.,A man running on a path.,2,"one is either running or holding, not both.",contradiction
A army guy is talking on his walkie-talkie.,A pilot flies over enemy territory.,2,A pilot is not in the army.,contradiction
A woman playing the violin with posters in the background.,A woman is playing music.,0,A violin makes music.,entailment
An accordion player accompanies a man and woman who are dancing a tango on a city street as several passersby watch.,a person plays an accordion for a man and woman who are dancing  on a street trying to get tips,1,The man and woman is not implied to be dancing just trying to get tips.,neutral
A black guy with dreadlocks is dancing along with other people.,A black guy is sitting down watching other people dance.,2,dancing and sitting are different actions,contradiction
People waiting for a subway train: one man in a black suit sitting on bench and three women standing or walking.,People wait for a blue train.,1,Not all trains are blue.,neutral
A child is holding a bunch of balloons in front of their face.,The child is going to a birthday party.,1,A child having balloons does not mean they are going to a birthday party.,neutral
A woman dances next to a stage during a music festival.,A women dances,0,A woman dances is the same as a woman dances,entailment
Brown and black dog with red and white jacket run on road in rural area.,A dog follows a car driven by its owner.,1,The dog may not be brown and black. It could be white.,neutral
A girl in a bathing suit rides a swing.,A girl is playing hopscotch.,2,Rides a swing is different than playing hopscotch.,contradiction
A climber hangs from a rock face over blue water.,A man upside down  bungee jumping.,1,"The climber could be female. They could be hanging the right way up, not upside down. They might not be bungee jumping.",neutral
A cat sleeps nestled up to a dog.,Two dogs are playing with each other.,2,Either one cat and a dog or two dogs. either sleeping or playing.,contradiction
A young man skateboards over a commercial trash container while two other guys watch.,A skateboarder performs for his friends.,0,Two other guys are likely his friends.,entailment
A man in a red plaid kilt stands outside holding a bag.,The man is wearing only a black t shirt.,2,If a man had on only a t shirt he could not be wearing a kilt also.,contradiction
A girl in a red plaid shirt with blue jeans making a fist.,A girl in a red shirt and blue jeans poses for a picture.,1,Just because the girl is making a fist does not mean she is posing for a picture.,neutral
Men are shining shoes on the street.,Men are shining the shoes of rich businessmen.,1,You can not infer he is a businessmen.,neutral
"Four shirtless men, hard at work, on a scaffold.",men working on scaffold,0,There are both men working hard on a scaffold.,entailment
An surfer airborne over a wave.,A snowboarder does a backflip.,2,A surfer and a snowboarder are two different athletes.,contradiction
A man with a black hat in the middle of a street directing traffic.,A man is directing traffic after a storm.,1,A man directing traffic doesn't always do so after a storm.,neutral
"A man in a green and white ""Irish"" baseball uniform is lunging forward as though to throw the ball underhand as an older man in umpire's uniform looks on.",The men are playing a basketball game.,2,there is no umpire in a basketball game,contradiction
A man is running along the shore of a beach on a rainy day.,The man is competing in a marathon.,1,The man is running but that doesn't necessarily mean that he is competing in a marathon.,neutral
A woman in red is sitting on a bench.,A man is resting on a chair.,2,There can be either a woman or a man.,contradiction
Audience at an event with the stage lights as the backdrop.,The crowd of people were waiting in line at the airport.,2,People cannot be both at an event with stage lights and also wait in line at the airport.,contradiction
A car is parked in a graffiti filled street.,A car is parked in a garage.,2,There is either a street or a garage.,contradiction
a dirty looking clown holding up two paper cut outs of children with blond-hair,A dirty looking clown is taking a shower for the first time in weeks.,2,A clown cannot be holding up two paper cut outs while simultaneously taking a shower.,contradiction
Four dog owners stand with their three prize winning dogs.,Winners of a dog show pose with their dogs after the show.,1,Just because the owners have winning dogs doesn't mean they won this show. They also may not be posing after the show if it is still be ongoing,neutral
White male squirting lighter fluid on charcoal grill coals while drinking a beer and smoking a cigarette in the woods.,Man destroying evidence in the woods.,1,Lighter fluid isn't necessarily destroying evidence.,neutral
A small crowd of people looks on as a man performs tricks on his BMX bike.,A young boy is riding his skateboard down an empty road.,2,The young boy either performs tricks on his BMX bike before a crowd or he is riding his skateboard down an empty road.,contradiction
A man is singing into a microphone while standing on a stage with instruments and musical equipment on the floor around him.,"A man is singing into a broken microphone, and the sound is being amplified.",2,The microphone cannot be broken and working at the same time.,contradiction
A woman in a white coat speaks to a woman in a green coat while waiting for a train.,Two woman speak on a train.,0,A woman speaking to another woman means that there is two women.,entailment
A small dog is playing with a plastic bag on the sidewalk.,A brown animal playing,1,The color is not apparent as brown.,neutral
Baby crawling in green grass.,A baby sleeping in her crib.,2,Baby can be crawling or sleeping at a time.,contradiction
A middle-aged African-American man wearing a baseball cap and an unbuttoned blue and white plaid shirt was leaning on something near a street.,A middle-aged African-American man waits for his friend outside a shop.,1,Leaning on something near a street does not imply a man waits for his friend outside a shop.,neutral
The floor is tiled.,The floor is made of wood.,2,made of wood is different from tiled,contradiction
"Two young men, one dressed in black, and the other with a black shirt and light pants, in an urban setting posing, tangled up with a football in the foreground.",a cook instructs new dishwashers,2,The men are either posing or instructing.,contradiction
A man is standing at a urban intersection.,Police officer flagging traffic in the city.,1,Man is not necessarily a police officer.,neutral
A shirtless man is walking through a tunnel of people.,The man walking through the crowd has no shirt on.,0,A shirtless man is walking through the crowd.,entailment
A woman with an orange shirt is holding a trey with ice cream and ice cream cones on it.,The woman is at a party.,1,Holding a tray with ice cream on it does not imply being at a party.,neutral
A fox terrier leaps after a ball.,A dog leaps after a ball.,0,A fox terrier is a breed of dog.,entailment
Construction workers on site near a railroad track.,A group of friends enjoy the beach.,2,A group of construction workers cannot be near a railroad track while at the beach.,contradiction
A man windsurfs with a group of other windsurfers.,The man is friends with the other windsurfers.,1,A man windsurfs with a group of other windsurfers but not with his friends.,neutral
A young girl in a dress printed with Yellow and pink flowers and holding a respirator is holding a picture of a menorah and Christmas tree.,A girl carrying holiday paraphernalia,0,"A young girl in dress is carrying holiday paraphernalia, a menora and christmas tree.",entailment
A family enjoys the outside.,A family sitting outside on their porch.,1,OUTSIDE DOESN'T MEAN ON A PORCH.,neutral
A older man playing the accordion outside in the street.,The musician is a woman.,2,A man is not a woman.,contradiction
A pink car and a motorcyclist pass a storefront decorated with mannequins.,People walking and sightseeing.,2,"People are plural, a motorcyclist is singular. People are either walking or traveling in the motor vehicles.",contradiction
Young male in a white karate outfit with a blue belt wrapped around his waist performs karate moves in front of the judges of the competition.,A young male is in a bulldozing contest.,2,The same young male cannot be performing in a karate competition and in a bulldozing contest.,contradiction
Two men in suspenders talking to a woman.,The men in suspenders sat silently as the woman passed by.,2,If they sat silently then they would not be making sounds and thus could not be talking.,contradiction
An Indian girl carries a basket of goods on her head.,An indian girl walks with a basket on her head.,0,The girl carrying a basket of goods on her head must be on foot and walking.,entailment
A person is standing on a surfboard and riding down a large wave.,The surfer is riding down a large wave.,0,A person standing on a surfboard is called a surfer.,entailment
"The man in the red, hooded sweatshirt looks back and construction is taking place on a shop with Hebrew lettering.",A man looks at a construction site.,0,If construction is taking place then it is obviously a construction site,entailment
"A guy is dressed very oddly, with green coloring in his hair.",The man is a rock star,1,"A guy who is dressed oddly can have any number of professions or none at all, it cannot be inferred from the information that this man is a rock star.",neutral
A man with a backpack is walking down the sidewalk in front of a red brick building.,The man is playing lacrosse,2,One does cannot be playing lacrosse while walking down the sidewalk.,contradiction
A nice light show displays a rock singer.,The young singer performs his first show.,1,Just because a rock singer is displayed doesn't mean he is young and it's his first show,neutral
"A woman dressed in a red, yellow, and blue uniform in midair during a bad-mitten game.",The woman is winning the game.,1,The clothes you wear doesn't mean you're winning the game.,neutral
A family eating lunch after shopping.,A family has stopped to eat after they finish shopping.,0,eating lunch after shopping means stopped to eat,entailment
An older man in a gray shirt standing by a building that has meat hanging out to dry.,The man is outside.,0,By a building is definitely inherently outside.,entailment
Man gives an interview in a nearly empty theater.,a man speaks in a nearly empty theater.,0,A man giving a interview in a empty theater is the same as speaking in a empty theater.,entailment
A black dog jumps over a show jumping hurdle.,The dog is blue.,2,Blue is not black.,contradiction
"A holder and kicker for a football team dressed in orange, white and black play while onlookers behind them watch.",Nobody is playing.,2,"Either a holder and kicker are playing football or nobody is playing, can not be both.",contradiction
A young boy with a red short-sleeved shirt and jeans runs by some trees.,The boy is playing hide and go seek,1,The boy may run by trees without playing hide and go seek.,neutral
A dog jumps down a flight of stairs.,Dog jumping own stairs,0,""" own "" is a misspelling of "" down "", and "" jumps down "" is a rephrasing of ""jumping down"".",entailment
A dog prepares to bite a yellow dog toy.,A dog is near a toy,0,toy almost the same as  toy,entailment
"A football player in white, black, and yellow catches a ball as a teammate and another player in red follow him.",Someone is catching a ball.,0,football player catches a ball means someone is catching a ball,entailment
Girls sitting around a fire.,The girls are jumping rope.,2,You cannot be sitting and jumping simultaneously.,contradiction
A man is sitting on the edge of a parking lot that has graffiti on it.,The man parked nearby.,1,The man isn't necessarily parked near the edge of the parking lot.,neutral
An elderly Asian man is bearing a green flag in a dragon parade.,There is a dragon parade going on.,0,An elderly Asian man is a dragon parade.,entailment
A man in a wheelchair sits in front of a mural of a scared woman.,He sees the mural.,0,sits in front  can be same as sees,entailment
A girl in a black sweater is sitting on the curb reading white papers.,A girl in a sweater is sitting on reading papers.,0,If someone is in a black sweater you can say they are in a sweater,entailment
A dark-skinned man is wearing a police outfit.,There is a man wearing an invisible tuxedo.,2,The man is wearing either a police outfit or an invisible tuxedo.,contradiction
A man in a blue and white shirt shows concern for a girl in a suv.,Humans are interacting,0,""" Shows Concern"" is a form of humans interacting.",entailment
A small boy wearing blue is walking on barefoot towards the edge of a beach as small waves hit the shore.,A small boy wearing blue thinks about the ocean.,1,A boy at a beach isn't necessarily thinking about the ocean.,neutral
A worker in a vest is inspecting tiles on a roof.,The worker checks on the roof.,0,"The word ""checks on "" from sentence two is a rephrasing of ""inspecting"" from sentence one.",entailment
A smiling boy in winter clothes waves his mittened hands outside a building in the snow.,A boy is about to go swimming at the beach.,2,"Snow implies cold whether while the beach implies hot weather, two different weather conditions.",contradiction
A man at a desk is listening to a man in a white shirt speak.,a man listens to a speech,0,Man in both.,entailment
Two children are climbing into a SpongeBob SquarePants bounce house as one child climbs out.,Two children are playing inside a bounce house.,0,The two children who climbed in the bounce house are playing.,entailment
man in brown shirt walking on sidewalk.,The man's shirt is disgusting.,1,Not all shirts are disgusting.,neutral
a young boy wearing a blue outfit playing with a rocket.,A boy is getting ready to launch his rocket.,1,just because a boy is playing with a rocket doesn't meant he is getting ready to launch his rocket.,neutral
A woman doing some type of protest near Sydney bay.,A woman doing some type of protest near Sydney bay on Saturday.,1,A woman can be doing a type of protest near Sydney bay on a day other than Saturday.,neutral
A person in a red jacket on top of rocks.,There is a person atop some rocks.,0,atop is another word for on top,entailment
"A cowboy in the rodeo arena holds on tightly as the bucking bronco tries to throw him off, while rodeo helpers and the audience look on.","A horse threw off a cowboy to the ground, but before the horse stomped on him, many clowns came out on the field to move the horse away from the rider.",1,Rodeo helpers are not clowns.,neutral
A man and two women talk while looking at his reflection in the mirror.,Three people are talking loudly,1,You can not infer it is loudly.,neutral
A metal worker doing some kind of work.,A metal working is walking around the street on his break.,2,a person doing work can't also be on his break.,contradiction
Young child trying to balance himself on a picnic table.,Sad child trying to balance himself on a picnic table.,1,One can attempt a balancing act and not necessarily be sad.,neutral
Two young men siting on a wooden couch are talking to one another.,The men have known each other for over a year.,1,It is not necessary to have known someone for a specific amount of time to be having a conversation with them.,neutral
Two adults are working on a piece of wood,Two adults are working with wood.,0,Working on wood and working with wood have the same meaning.,entailment
"An older lady in a colorful dress, leather jacket, and black hat sits on a bench in front of an ancient-looking wall.",the lady is a presenter,2,A presenter would not be sitting on a bench.,contradiction
"A snowboarder wearing a blue jacket and green pants is speeding down the side of a mountain with snow shooting behind him, with a blue sky and green trees in the background.",Snowboarder speeding down mountain side,0,Mountain side is another way of saying side of a mountain.,entailment
A woman who just gave birth holding her baby in the hospital.,A lady pets her new dog.,2,Pets would not be allowed in a hospital.,contradiction
Two small dogs search the ground for something.,The small dogs are looking for food.,1,The two small dogs are not necessarily looking for food. They may be looking for something else.,neutral
A young man taking a picture of another young man outdoors.,The man is holding a camera.,0,The man has to be holding the camera to take a picture.,entailment
a baby smiling while playing with her mom.,A mom is playing with a baby.,0,If a mom plays with her baby the baby is also playing with her mom.,entailment
"A group of young blond children, one carrying a rifle, poses in front of a house.",A group of boy scouts stand in front of the scout leaders house.,1,Not all young blond children are boy scouts and not all houses belong to scout leaders.,neutral
